eruptionID,primaryID,time,exact,ns,ie,E,A,q,webcam,durationSec
809557,809557,1452164460,1,0,0,0,0,0,1,
809559,809559,1452170340,1,0,0,0,0,0,1,
809562,809562,1452176040,1,0,0,0,0,0,1,
809570,809570,1452181620,1,0,0,0,0,0,1,
809577,809577,1452186840,1,0,0,0,0,0,1,
809585,809585,1452192540,1,0,0,0,0,0,1,
809587,809587,1452198300,1,0,0,0,0,0,1,
809588,809587,1452198300,1,0,0,0,0,0,1,
809591,809592,1452203760,0,0,1,0,0,0,1,
809592,809592,1452203760,1,0,0,0,0,0,1,
809602,809602,1452210060,1,0,0,0,0,0,1,
809603,809602,1452210060,1,0,0,0,0,0,1,
809604,809602,1452210060,1,0,0,0,0,0,1,
809605,809605,1452215100,1,0,0,0,0,0,1,
809609,809609,1452221520,1,0,0,0,0,0,1,
809611,809611,1452226620,1,0,0,0,0,0,1,
809616,809616,1452232440,1,0,0,0,0,0,1,
809618,809618,1452237480,1,0,0,0,0,0,1,
809619,809618,1452237480,1,0,0,0,0,0,1,
809623,809623,1452248880,1,0,0,0,0,0,1,
809626,809626,1452254580,1,0,0,0,0,0,1,
809627,809626,1452254580,1,0,0,0,0,0,1,
809629,809629,1452260580,1,0,0,0,0,0,1,
809631,809631,1452272520,1,0,0,0,0,0,1,
809632,809631,1452272520,1,0,0,0,0,0,1,
809636,809636,1452278460,1,0,0,0,0,0,1,
809639,809639,1452284220,1,0,0,0,0,0,1,
809640,809639,1452284220,1,0,0,0,0,0,1,
809643,809643,1452290340,1,0,0,0,0,0,1,
809650,809650,1452295260,1,0,0,0,0,0,1,
809651,809651,1452301140,1,0,0,0,0,0,1,
809654,809654,1452306240,1,0,0,0,0,0,1,
809660,809660,1452311700,1,0,0,0,0,0,1,
809663,809663,1452317280,1,0,0,0,0,0,1,
809656,809663,1452317400,0,0,1,0,0,0,1,
809665,809665,1452323280,1,0,0,0,0,0,1,
809668,809668,1452328560,1,0,0,0,0,0,1,
809669,809669,1452334860,1,0,0,0,0,0,1,
809671,809671,1452340500,1,0,0,0,0,0,1,
809674,809675,1452346440,1,0,0,0,0,0,1,
809675,809675,1452346440,1,0,0,0,0,0,1,
809676,809675,1452346440,1,0,0,0,0,0,1,
809686,809686,1452351900,1,0,0,0,0,0,1,
809689,809689,1452358200,1,0,0,0,0,0,1,
809697,809697,1452363840,1,0,0,0,0,0,1,
809702,809702,1452369420,1,0,0,0,0,0,1,
809713,809713,1452375120,1,0,0,0,0,0,1,
809715,809715,1452380760,1,0,0,0,0,0,1,
809718,809718,1452385980,1,0,0,0,0,0,1,
809720,809720,1452391920,0,0,1,0,0,0,1,
809721,809721,1452397320,1,0,0,0,0,0,1,
809745,809745,1452403680,1,0,0,0,0,0,1,
809746,809746,1452410040,1,0,0,0,0,0,1,
809748,809748,1452415500,1,0,0,0,0,0,1,
809733,809733,1452421020,1,0,0,0,0,0,1,
809723,809723,1452426120,1,0,0,0,0,0,1,
809722,809723,1452426180,1,0,0,0,0,0,1,
809726,809726,1452432000,1,0,0,0,0,0,1,
809727,809726,1452432000,1,0,0,0,0,0,1,
809731,809731,1452437400,1,0,0,0,0,0,1,
809752,809752,1452443400,1,0,0,0,0,0,1,
809757,809757,1452449640,1,0,0,0,0,0,1,
809758,809757,1452449640,1,0,0,0,0,0,1,
809762,809762,1452455280,1,0,0,0,0,0,1,
809767,809767,1452460740,1,0,0,0,0,0,1,
809771,809771,1452467460,1,0,0,0,0,0,1,
809775,809775,1452470580,1,0,0,0,0,0,1,
809774,809775,1452470640,1,0,0,0,0,0,1,
809777,809777,1452476400,1,0,0,0,0,0,1,
809779,809779,1452481380,1,0,0,0,0,0,1,
809782,809782,1452486960,1,0,0,0,0,0,1,
809784,809784,1452492540,1,0,0,0,0,0,1,
809787,809787,1452498600,1,0,0,0,0,0,1,
809800,809800,1452509580,1,0,0,0,0,0,1,
809790,809790,1452515100,1,0,0,0,0,0,1,
809791,809791,1452520740,1,0,0,0,0,0,1,
809792,809791,1452520800,1,0,0,0,0,0,1,
809795,809795,1452526200,1,0,0,0,0,0,1,
809796,809796,1452532320,1,0,0,0,0,0,1,
809799,809799,1452537600,1,0,0,0,0,0,1,
809805,809805,1452543120,1,0,0,0,0,0,1,
809811,809811,1452548340,1,0,0,0,0,0,1,
809816,809816,1452553980,1,0,0,0,0,0,1,
809819,809819,1452559740,1,0,0,0,0,0,1,
809822,809822,1452565140,1,0,0,0,0,0,1,
809824,809824,1452570300,1,0,0,0,0,0,1,
809831,809831,1452575940,1,0,0,0,0,0,1,
809832,809832,1452581160,1,0,0,0,0,0,1,
809836,809836,1452586620,1,0,0,0,0,0,1,
809840,809840,1452592500,1,0,0,0,0,0,1,
809842,809842,1452597660,1,0,0,0,0,0,1,
809841,809841,1452603360,1,0,0,0,0,0,1,
809845,809845,1452608880,1,0,0,0,0,0,1,
809846,809845,1452608940,1,0,0,0,0,0,1,
809847,809845,1452608940,1,0,0,0,0,0,1,
809859,809859,1452614640,1,0,0,0,0,0,1,
809860,809859,1452614640,1,0,0,0,0,0,1,
809862,809859,1452614640,1,0,0,0,0,0,1,
809865,809866,1452619860,0,0,1,0,0,0,1,
809866,809866,1452619920,1,0,0,0,0,0,1,
809872,809872,1452625260,1,0,0,0,0,0,1,
809875,809875,1452630780,1,0,0,0,0,0,1,
809876,809875,1452630780,1,0,0,0,0,0,1,
809880,809880,1452636240,1,0,0,0,0,0,1,
809891,809891,1452641820,1,0,0,0,0,0,1,
809887,809887,1452647280,1,0,0,0,0,0,1,
809895,809895,1452653100,1,0,0,0,0,0,1,
809889,809895,1452653160,0,0,1,0,0,0,1,
809890,809890,1452656640,1,0,0,0,0,0,1,
809897,809897,1452662400,1,0,0,0,0,0,1,
809900,809900,1452668520,1,0,0,0,0,0,1,
809903,809903,1452673920,1,0,0,0,0,0,1,
809905,809905,1452685260,1,0,0,0,0,0,1,
809906,809906,1452691380,1,0,0,0,0,0,1,
809912,809912,1452696660,1,0,0,0,0,0,1,
809920,809920,1452702120,1,0,0,0,0,0,1,
809919,809920,1452702180,1,0,0,0,0,0,1,
809926,809926,1452708180,0,0,1,0,0,0,1,
809929,809929,1452713760,1,0,0,0,0,0,1,
809933,809933,1452718980,1,0,0,0,0,0,1,
809938,809938,1452724440,1,0,0,0,0,0,1,
809939,809938,1452724500,1,0,0,0,0,0,1,
809948,809948,1452730320,1,0,0,0,0,0,1,
809949,809948,1452730320,1,0,0,0,0,0,1,
809961,809961,1452735420,1,0,0,0,0,0,1,
809962,809962,1452742260,1,0,0,0,0,0,1,
809954,809954,1452747300,0,0,1,0,0,0,1,
889652,889652,1452753120,1,0,0,0,0,0,1,
809964,809964,1452759000,1,0,0,0,0,0,1,
809967,809967,1452764580,1,0,0,0,0,0,1,
809972,809972,1452770280,1,0,0,0,0,0,1,
809955,809955,1452775920,1,0,0,0,0,0,1,
809956,809956,1452781620,1,0,0,0,0,0,1,
809957,809956,1452781620,1,0,0,0,0,0,1,
809960,809960,1452786960,1,0,0,0,0,0,1,
809979,809979,1452793140,1,0,0,0,0,0,1,
809982,809982,1452798960,1,0,0,0,0,0,1,
809985,809985,1452804660,1,0,0,0,0,0,1,
809990,809990,1452810600,1,0,0,0,0,0,1,
809991,809990,1452810600,1,0,0,0,0,0,1,
809992,809992,1452816720,1,0,0,0,0,0,1,
809993,809993,1452822420,1,0,0,0,0,0,1,
810008,810008,1452828060,1,0,0,0,0,0,1,
809995,809995,1452833580,0,0,1,0,0,0,1,
810011,810011,1452838920,1,0,0,0,0,0,1,
810014,810014,1452844860,1,0,0,0,0,0,1,
810016,810016,1452850440,1,0,0,0,0,0,1,
810019,810019,1452856140,1,0,0,0,0,0,1,
809997,809997,1452862020,0,0,1,0,0,0,1,
810001,810001,1452867420,1,0,0,0,0,0,1,
810002,810001,1452867480,1,0,0,0,0,0,1,
810005,810005,1452872700,1,0,0,0,0,0,1,
810022,810022,1452878100,1,0,0,0,0,0,1,225
810023,810022,1452878100,1,0,0,0,0,0,1,
810028,810028,1452884040,1,0,0,0,0,0,1,
810029,810028,1452884040,1,0,0,0,0,0,1,
810033,810033,1452889260,1,0,0,0,0,0,1,
810039,810039,1452894600,1,0,0,0,0,0,1,
810041,810041,1452899880,1,0,0,0,0,0,1,240
810042,810041,1452899880,1,0,0,0,0,0,1,
810073,810073,1452906060,1,0,0,0,0,0,1,
810074,810074,1452911400,1,0,0,0,0,0,1,
810078,810078,1452917040,1,0,0,0,0,0,1,
810044,810044,1452923160,1,0,0,0,0,0,1,
810048,810048,1452928380,1,0,0,0,0,0,1,
810083,810083,1452933600,1,0,0,0,0,0,1,
810086,810086,1452939840,1,0,0,0,0,0,1,
810089,810089,1452945600,1,0,0,0,0,0,1,
810050,810050,1452951600,1,0,0,0,0,0,1,
810052,810053,1452957480,1,0,0,0,0,0,1,
810053,810053,1452957480,1,0,0,0,0,0,1,
810059,810059,1452963120,1,0,0,0,0,0,1,
810071,810071,1452968820,1,0,0,0,0,0,1,
810079,810079,1452974640,1,0,0,0,0,0,1,
810096,810096,1452980280,0,0,1,0,0,0,1,
810101,810102,1452986160,1,0,0,0,0,0,1,
810102,810102,1452986160,1,0,0,0,0,0,1,
810108,810109,1452992400,1,0,0,0,0,0,1,
810109,810109,1452992400,1,0,0,0,0,0,0,
810111,810111,1452998160,1,0,0,0,0,0,1,
810112,810112,1453004100,1,0,0,0,0,0,1,
810116,810116,1453010040,1,0,0,0,0,0,1,
810118,810118,1453015440,1,0,0,0,0,0,1,
810140,810140,1453026960,1,0,0,0,0,0,1,
810142,810142,1453032900,1,0,0,0,0,0,1,
810123,810123,1453039140,1,0,0,0,0,0,1,
810124,810123,1453039140,1,0,0,0,0,0,1,
810129,810129,1453044840,1,0,0,0,0,0,1,
810130,810129,1453044840,1,0,0,0,0,0,1,
